cell_id,dist_to_water
0,1216.1367020984403
1,1543.7964156620612
2,1157.0397651979542
3,743.6420546078227
4,327.61351984533735
5,149.4444465621263
6,303.6674795484209
7,500.5008693801316
8,2129.110334326236
9,1722.6117135288562
10,1325.7190279158885
11,947.2555635982733
12,652.6993297141405
13,360.0241063293964
14,22.08019324061585
15,396.9547002529111
16,835.3567138442296
17,771.5898455253463
18,507.38690279169344
19,543.906046900992
20,842.8513821013129
21,2337.609906706909
22,1956.1030841880167
23,1605.365305353502
24,1259.5961880753803
25,867.185135964682
26,545.7435599758111
27,445.65087656135466
28,671.5870716767039
29,1003.1023190543134
30,600.5036632822001
31,159.89749410235257
32,253.56904810507345
33,694.5202323462553
34,1012.2018050775523
35,2489.7367430158047
36,2048.8119372324213
37,1607.9000679461794
38,1167.0169532576324
39,726.2168269509009
40,285.8885633189207
41,58.39684180574642
42,498.5176473486001
43,939.4232765189358
44,782.3855202980739
45,524.6244178268144
46,313.40094768926167
47,347.71189126695447
48,709.7101494175564
49,1129.3192470485105
50,1527.80011109197
51,2452.483701892548
52,2543.920892908356
53,2114.046376971566
54,1686.2352360264642
55,1267.454714359923
56,870.8336995978967
57,546.9201216981713
58,464.0832651406574
59,582.8089286847722
60,685.2156226407701
61,994.0877409078812
62,641.5768508131307
63,265.22397404860266
64,303.5852367768138
65,688.2939279282813
66,1115.4393232532336
67,1550.3341012571607
68,1987.5627662416782
69,1810.741669808629
70,2064.9085219171584
71,2371.2279912737904
72,2274.607626246642
73,1883.6420899291977
74,1520.2676485858606
75,1209.6119862949108
76,934.6398735734178
77,499.77857943942894
78,101.1066682348783
79,375.822982975362
80,809.8415036276865
81,930.787103355774
82,716.6017414619196
83,738.6152290945384
84,961.4321573152929
85,1181.1566700975764
86,1501.570554268767
87,1871.6580136916511
88,2224.0474091048923
89,1064.5988413828702
90,1044.585406996167
91,1169.02555658889
92,1399.6242060259603
93,1711.4390322671243
94,2070.709518241375
95,2456.703819178265
96,2179.548481319433
97,1848.9470797397553
98,1420.470600585777
99,1002.8254668074185
100,618.3644452264256
101,384.24161927115625
102,530.0576542047461
103,895.8553266048907
104,1032.8325984030494
105,657.9089421930729
106,423.75323468862115
107,516.1478656442591
108,858.583951756827
109,1263.610492368883
110,1685.3920074408236
111,2114.8993372637665
112,986.1650443068601
113,682.4812920375854
114,541.020037524174
115,703.1680676993886
116,576.1331789674205
117,735.1495158737985
118,1059.1307217826661
119,1446.3023564304087
120,1857.5643618462004
121,2279.9177914661605
122,2416.153540628365
123,2012.0185325463415
124,1627.0866019743582
125,1278.818729880205
126,1006.0421909162673
127,879.5716254355851
128,952.3069461241828
129,1195.3726676808706
130,929.1755662731023
131,489.2983241434452
132,60.65954756233481
133,310.4465710512729
134,748.2816184160258
135,1188.3784863896856
136,1628.9057642725877
137,2069.589294842915
138,580.8240272189228
139,416.67149977167037
140,43.2501941621213
141,390.11354728902757
142,79.42097729798127
143,448.18584868930736
144,883.5262982150927
145,1321.9917681544769
146,1761.6500218367228
