cell_id,lst,ndvi,building_density,road_density
0,45.46600100953621,0.1350493485208098,0.0044881665183445,0.0121887792523063
1,45.53524399886566,0.1247157864667358,0.0,0.0
2,45.35942861636098,0.1337597149231732,0.0,0.0
3,45.69862502909655,0.1329272893861723,0.0,0.0
4,48.00502663844425,0.1276495918306169,0.0,0.0
5,48.65616238729326,0.1106112891724373,0.0,0.0
6,47.51846016806434,0.1214574759043325,0.0,0.0045437193672972
7,46.20989627789219,0.1154837275912265,0.0,0.0
8,43.892520210454414,0.1203048684126483,0.0,0.0
9,44.86566204194414,0.1311322073762321,0.0,0.0
10,45.98553284659338,0.1307907873587175,0.0,0.0
11,45.74718014079927,0.132092079938399,0.0,0.0
12,46.70616161833703,0.1204358562818859,0.0,0.0
13,48.40762668797678,0.1161190037510174,0.0,0.0002707932656971
14,46.02796575963088,0.1269475405696417,0.0,0.0059812004106688
15,46.87297917789477,0.1163203430636592,0.0,0.0
16,47.47828292823903,0.1151447129779442,0.0,0.0
17,47.58106311290083,0.1193114999641459,0.0,0.0
18,46.230103231988736,0.1320966644797946,0.0,0.0
19,44.8539651353284,0.137706715469856,0.0,0.0
20,41.74595005890183,0.1872609283376483,0.0,0.0
21,45.05318434635037,0.125747559906643,0.0,0.0
22,46.05983901596353,0.1277674242734185,0.0,0.0
23,45.749815682722414,0.1263941585863125,0.0,0.0
24,45.426456953718166,0.1362490445172813,0.0,0.0
25,45.9294734437604,0.1377243400299668,0.0,0.0
26,46.14176253360577,0.1312212800825164,0.0,0.0035425995862641
27,47.31620848517981,0.1294665715286155,0.0001725696349878,0.0017877754411565
28,46.81979447004046,0.1321302864295668,0.0,0.0
29,47.953593699096174,0.1197728191801446,0.0009685101334066,0.0
30,47.896607312791815,0.1121876684863158,0.0005276086468136,0.0
31,46.46778777430471,0.1163579149254925,0.0,0.0
32,45.866168789249,0.1448508246476278,0.0,0.0
33,43.46132991082273,0.1698170925024223,0.0,0.0
34,45.16384518865434,0.1434553361950774,0.0,0.0
35,45.79703639594222,0.123907828454536,0.0,0.0
36,44.55541655399207,0.1481353617056782,0.0,0.0014419329934335
37,44.83328673604164,0.140922751814483,0.0,0.0002205962315601
38,45.233708838961135,0.1537296049403061,0.0,0.0
39,45.43477329205035,0.1388017188931842,0.0,0.0
40,45.87228815770909,0.1400787798705682,0.0076174081648407,0.0148504753218187
41,47.18164356880585,0.1332556615796412,0.0106202382133862,0.0143341575697776
42,46.9857498096522,0.1377837462536932,0.0028011281580857,0.0028826400206139
43,45.88352078848596,0.1703736221388113,0.0038351739480448,0.0094735407019628
44,46.74766206078847,0.1487221477978356,0.0004925856555342,0.0027618101071563
45,46.16447244234749,0.1130291505470637,0.0,0.0
46,45.06328660225663,0.1321402398717969,0.0,0.0
47,45.09192626948546,0.123415493791917,0.0,0.0
48,45.293574736949004,0.1526187236633514,0.0012457150289857,0.0036374924007754
49,45.26691279088907,0.1533905548754343,0.0,0.0
50,43.94513246337501,0.1636083916973818,0.0,0.0
51,44.85641089571103,0.165916497700376,0.0,0.0099031953900358
52,46.016988909757096,0.1280940619841567,0.0,0.0013761243361812
53,44.41681025967462,0.1741590470005347,0.0,0.0081870478145805
54,44.611914093335926,0.1639109062258964,0.0,0.0066549144105637
55,44.2843602898817,0.1666696359190887,0.0,0.0
56,45.049627166900194,0.1694687462063486,0.0,0.0051817208437918
57,45.651306449781536,0.1508088776908844,0.0121975291164252,0.0177541399585813
58,46.60088666459065,0.1343125662869464,0.0072304363627747,0.0195129728886193
59,46.89010550915162,0.1655238454233493,0.0023669013853637,0.0120180334818701
60,45.79885190656787,0.178607213373912,0.0064795479493344,0.0085727768174104
61,47.35968084720317,0.1533873336046542,0.0067605543161639,0.0023735097956689
62,46.5561703432957,0.1371315659930495,0.0,0.0
63,45.53712194582397,0.1380200735135426,0.0,0.0053601328582599
64,46.54213864268938,0.1367364616535719,0.0,0.0042749204273156
65,46.30718008097555,0.1254656741306666,0.0162853750720909,0.0308740611708507
66,44.397104632785776,0.1468723733166723,0.0,0.015822376276916
67,42.75914349895895,0.1943582545288895,0.0,0.0
68,45.14525112245915,0.1610816261726088,0.0,0.0
69,42.81397949238942,0.200762654601819,0.0009997575882817,0.0046732755330867
70,43.00177068460268,0.1941927140466036,0.0,0.0053527803773489
71,44.69154258482424,0.1699769554465889,0.0,0.0095578380287263
72,43.0809129885288,0.1927402491080987,0.0,0.0090172075751761
73,43.79574472001456,0.1397800125361703,0.0,0.0271479378919232
74,43.75818567845173,0.1553515798072715,0.0,0.0167580421562621
75,44.891628700818565,0.1707981883854134,0.0,0.008483379973308
76,46.25922513522912,0.1609534521090353,0.0,0.0129572056918849
77,45.65053159147655,0.1343822063432274,0.0083503763111525,0.0239988780803769
78,46.176748712942526,0.1646419993460406,0.0006473599173265,0.0165601646299825
79,45.80446668389484,0.1668365117452265,0.0042189161724743,0.0018308234265633
80,46.76957461331431,0.170741364304386,0.0125001171947764,0.0088529887346537
81,48.447062395567016,0.1421435179468654,0.0057742982765375,0.0058583231718547
82,47.943481205959806,0.1313305215790691,0.0,2.54572495956657e-05
