cell_id,lst,ndvi,building_density,road_density,lon,lat
0,45.46600100953621,0.1350493485208098,0.0044881665183445,0.0121887792523063,77.17462626751875,28.407308200688238
1,45.53524399886566,0.1247157864667358,0.0,0.0,77.17131515768968,28.411577433661968
2,45.35942861636098,0.1337597149231732,0.0,0.0,77.17524963979892,28.41125035862173
3,45.69862502909655,0.1329272893861723,0.0,0.0,77.1797254731566,28.411790979323783
4,48.00502663844425,0.1276495918306169,0.0,0.0,77.18430847344855,28.411591659398407
5,48.65616238729326,0.1106112891724373,0.0,0.0,77.18870043837876,28.411641144773057
6,47.51846016806434,0.1214574759043325,0.0,0.0045437193672972,77.19319289054665,28.41188605055589
7,46.20989627789219,0.1154837275912265,0.0,0.0,77.1976826307587,28.412130808496602
8,43.892520210454414,0.1203048684126483,0.0,0.0,77.16641302057276,28.4160008457307
9,44.86566204194414,0.1311322073762321,0.0,0.0,77.1707499999995,28.415750000000003
10,45.98553284659338,0.1307907873587175,0.0,0.0,77.1752499999995,28.415750000000003
11,45.74718014079927,0.132092079938399,0.0,0.0,77.17974999999947,28.415750000000003
12,46.70616161833703,0.1204358562818859,0.0,0.0,77.18424999999947,28.415750000000003
13,48.40762668797678,0.1161190037510174,0.0,0.0002707932656971,77.18874999999946,28.415750000000003
14,46.02796575963088,0.1269475405696417,0.0,0.0059812004106688,77.19324999999945,28.415750000000003
15,46.87297917789477,0.1163203430636592,0.0,0.0,77.19774999999944,28.415750000000003
16,47.47828292823903,0.1151447129779442,0.0,0.0,77.20224999999944,28.415750000000003
17,47.58106311290083,0.1193114999641459,0.0,0.0,77.20674999999943,28.415750000000003
18,46.230103231988736,0.1320966644797946,0.0,0.0,77.21124999999942,28.415750000000003
19,44.8539651353284,0.137706715469856,0.0,0.0,77.21574999999942,28.415750000000003
20,41.74595005890183,0.1872609283376483,0.0,0.0,77.2202186905587,28.41578174719574
21,45.05318434635037,0.125747559906643,0.0,0.0,77.1662499999995,28.420249999999996
22,46.05983901596353,0.1277674242734185,0.0,0.0,77.1707499999995,28.420249999999996
23,45.749815682722414,0.1263941585863125,0.0,0.0,77.1752499999995,28.420249999999996
24,45.426456953718166,0.1362490445172813,0.0,0.0,77.17974999999947,28.420249999999996
25,45.9294734437604,0.1377243400299668,0.0,0.0,77.18424999999947,28.420249999999996
26,46.14176253360577,0.1312212800825164,0.0,0.0035425995862641,77.18874999999946,28.420249999999996
27,47.31620848517981,0.1294665715286155,0.0001725696349878,0.0017877754411565,77.19324999999945,28.420249999999996
28,46.81979447004046,0.1321302864295668,0.0,0.0,77.19774999999944,28.420249999999996
29,47.953593699096174,0.1197728191801446,0.0009685101334066,0.0,77.20224999999944,28.420249999999996
