cell_id,lst_night,lst_day_modis
0,25.529512195121963,42.18682926829271
1,25.670000000000016,42.140000000000036
2,25.49750000000001,42.197500000000026
3,25.430000000000007,42.22000000000003
4,23.738620689655217,41.82275862068969
5,23.250000000000057,41.70800000000004
6,22.90276595744685,41.11625531914896
7,22.77000000000004,40.89000000000003
8,26.430344827586236,41.75231034482761
9,26.604062500000037,41.76065625000003
10,26.38870967741939,41.89474193548389
11,26.28781250000004,41.95312500000003
12,24.967419354838732,42.01058064516131
13,24.489062500000014,42.03396875000003
14,23.626774193548417,41.70600000000002
15,23.303750000000043,41.58387500000003
16,23.26777777777782,41.14458064516132
17,22.77000000000004,40.979593750000035
18,,40.719677419354866
19,,40.62646875000002
20,24.49000000000001,40.507406250000024
21,26.37000000000003,41.755142857142886
22,26.650000000000034,41.74200000000003
23,26.42000000000004,41.88431250000002
24,26.33000000000004,41.940000000000026
25,25.03031746031748,42.020317460317486
26,24.55000000000001,42.050000000000026
27,23.65920634920638,41.73457142857145
28,23.33000000000004,41.61800000000002
29,23.33000000000004,41.155079365079395
30,,40.98400000000003
31,,40.73431250000003
32,,40.64400000000003
33,24.49000000000001,40.50523809523812
34,24.49000000000001,40.45800000000002
35,25.72049180327871,41.077377049180356
36,25.817301587301607,41.12231746031749
37,26.17031746031747,41.51412698412701
38,26.310634920634925,41.66307936507939
39,26.016666666666683,42.01438095238098
40,25.924920634920664,42.14876190476193
41,24.53645161290327,42.042516129032286
42,24.046507936507986,42.00917460317463
43,24.07000000000005,41.784129032258086
44,,41.710190476190505
45,,41.379396825396846
46,,41.265619047619076
47,24.432553191489365,40.83685714285717
48,24.431904761904768,40.68650793650796
49,24.295483870967786,40.22625806451615
50,24.250000000000057,40.058000000000035
51,25.49000000000001,40.97600000000002
52,25.70428571428573,41.06600000000003
53,25.79000000000002,41.10200000000003
54,26.163750000000007,41.49875000000003
55,26.310000000000002,41.65400000000003
56,26.06174603174605,42.01761904761908
57,25.970000000000027,42.15200000000003
