cell_id,lon,lat,cx,cy,area_m2,lst,ndvi_unmasked_legacy,albedo,ndbi,mndwi,bsi,building_density,road_density
0,77.17462626005484,28.407308202417536,713033.582557921,3144247.2205921067,131290.02735661628,45.46600100953621,0.1350493485208098,0.1369708784034365,0.0808821792869112,-0.4547225333424081,0.1335757989069262,0.0044881665183445,0.0121887792523063
1,77.17131516746774,28.411577430590906,712700.596441787,3144714.5036461037,154235.15641927847,45.53524399886566,0.1247157864667358,0.1385677492225653,0.0959961605828334,-0.4544106484315787,0.1487044637524887,0.0,0.0
2,77.17524964041283,28.41125036142438,713086.7718694317,3144685.2170456266,219937.823087053,45.35942861636098,0.1337597149231732,0.1338812693826454,0.0875240760442181,-0.4576698784935648,0.1380047837718399,0.0,0.0
3,77.17972547250832,28.411790986286938,713524.2543821979,3144753.066521464,166054.162757053,45.69862502909655,0.1329272893861723,0.1405671579782655,0.0903719217860193,-0.4605075929204577,0.1419715590574318,0.0,0.0
4,77.18430847638048,28.411591661317885,713973.7226175772,3144739.1173048457,186170.7859747296,48.00502663844425,0.1276495918306169,0.1619108857658426,0.0957858723531596,-0.4554732984086582,0.1525144811824293,0.0,0.0
5,77.18870043768923,28.411641153052482,714403.972349423,3144752.4201708087,181470.42988692893,48.65616238729326,0.1106112891724373,0.167105558874391,0.1192581451200509,-0.4508721402442039,0.1737519745051974,0.0,0.0
6,77.19319289013954,28.411886061450794,714843.6744436193,3144787.5755602047,157486.8861997007,47.51846016806434,0.1214574759043325,0.1593395748631165,0.0898198280387704,-0.4333349152296782,0.1498678110374594,0.0,0.0045437193672972
7,77.19768263059375,28.41213082163477,715283.1097953211,3144822.72622192,133503.22914528716,46.20989627789219,0.1154837275912265,0.1290052756163892,0.1155975092107754,-0.4521314466636669,0.1576990769292421,0.0,0.0
8,77.1664130275945,28.4160008481818,712211.4354344027,3145196.0755059766,191989.51536466644,43.892520210454414,0.1203048684126483,0.1155056680234609,0.1035990976856497,-0.4505758181740124,0.1454523440391181,0.0,0.0
9,77.17075000050366,28.415750003082064,712636.8778601954,3145175.9328022273,219963.16653813346,44.86566204194414,0.1311322073762321,0.1337032034971393,0.0883956502258716,-0.4530089940078775,0.1390714018291519,0.0,0.0
10,77.17525000050469,28.415750003081968,713077.794142909,3145183.8941891515,219964.18564985215,45.98553284659338,0.1307907873587175,0.1408667487699134,0.0917052216628947,-0.4553344965796937,0.1440055014634025,0.0,0.0
11,77.17975000050573,28.41575000308186,713518.7111498854,3145191.872092238,219965.20687733416,45.74718014079927,0.132092079938399,0.1389195181602745,0.0876934595899664,-0.4535280472915476,0.1400889043303129,0.0,0.0
12,77.18425000050676,28.415750003081772,713959.6288826232,3145199.8665116695,219966.23022049462,46.70616161833703,0.1204358562818859,0.1429965533592716,0.1045158428321038,-0.4535472257950456,0.1555053151557751,0.0,0.0
13,77.18875000050781,28.41575000308167,714400.547342619,3145207.877447625,219967.25567912654,48.40762668797678,0.1161190037510174,0.1802891338732356,0.0916005001495239,-0.4265695293223392,0.1579192805343069,0.0,0.0002707932656971
14,77.19325000050884,28.415750003081566,714841.4665313723,3145215.904900288,219968.28325484332,46.02796575963088,0.1269475405696417,0.1433076937582535,0.052628896290008,-0.3980981835549265,0.1209772627693764,0.0,0.0059812004106688
15,77.19775000050987,28.41575000308146,715282.3864503813,3145223.9488698402,219969.3129458177,46.87297917789477,0.1163203430636592,0.1379830126139927,0.1145670280168758,-0.451745202436832,0.1589169769513053,0.0,0.0
16,77.20225000051093,28.41575000308137,715723.307101144,3145232.0093564657,219970.34475275083,47.47828292823903,0.1151447129779442,0.1303000802611452,0.1124364255230666,-0.4507221800539656,0.1546215919515058,0.0,0.0
17,77.20675000051196,28.41575000308128,716164.2284851581,3145240.0863603456,219971.37867582787,47.58106311290083,0.1193114999641459,0.1395307510491843,0.1096880883662272,-0.4521198451788648,0.154074106881092,0.0,0.0
18,77.211250000513,28.415750003081172,716605.150603922,3145248.179881663,219972.41471498334,46.230103231988736,0.1320966644797946,0.139335943222014,0.0768874093991508,-0.4403614430468993,0.1318175467378224,0.0,0.0
19,77.21575000051403,28.415750003081065,717046.0734589337,3145256.289920603,219973.45287015283,44.8539651353284,0.137706715469856,0.1455873617612683,0.0615859850538405,-0.4331571736057832,0.1220097979941814,0.0,0.0
20,77.22021869065183,28.415781747895174,717483.8643060176,3145267.878082379,216534.31449699952,41.74595005890183,0.1872609283376483,0.1238002501398813,-0.0376954416090659,-0.4155347829911733,0.0308481828660237,0.0,0.0
21,77.16625000050243,28.42025000308112,712186.9846233651,3145666.702797979,219952.97475234192,45.05318434635037,0.125747559906643,0.1285237573790172,0.0984194558093382,-0.4526956280086474,0.1447500872688987,0.0,0.0
22,77.17075000050346,28.420250003081023,712627.8815009969,3145674.6484854883,219953.99161866432,46.05983901596353,0.1277674242734185,0.1401087093101994,0.105302706676888,-0.4630500153098673,0.1524782734510869,0.0,0.0
23,77.1752500005045,28.420250003080916,713068.779101189,3145682.6106906733,219955.0106003115,45.749815682722414,0.1263941585863125,0.1386705240292618,0.102332775979822,-0.4605180059076763,0.1503573456064421,0.0,0.0
24,77.17975000050554,28.420250003080817,713509.6774254392,3145690.5894137155,219956.03169784113,45.426456953718166,0.1362490445172813,0.1443325172128157,0.0747915527167949,-0.4480111482750871,0.132810518120897,0.0,0.0
25,77.18425000050658,28.42025000308072,713950.5764752455,3145698.5846547964,219957.05491082603,45.9294734437604,0.1377243400299668,0.1490593981258929,0.072150488904115,-0.4447983223145109,0.1329243663130607,0.0,0.0
26,77.18875000050762,28.420250003080618,714391.4762521045,3145706.596414096,219958.08023890847,46.14176253360577,0.1312212800825164,0.1483258555079288,0.0727658706055978,-0.4351156766575917,0.134198451522533,0.0,0.0035425995862641
27,77.19325000050864,28.420250003080522,714832.3767575147,3145714.624691798,219959.10768394283,47.31620848517981,0.1294665715286155,0.1448589239706953,0.0960508438282697,-0.4519492855751815,0.1456840440174984,0.0001725696349878,0.0017877754411565
28,77.1977500005097,28.420250003080426,715273.2779929746,3145722.6694880826,219960.13724402786,46.81979447004046,0.1321302864295668,0.1457480722588745,0.0946141521365138,-0.4524383948206808,0.1427274381178256,0.0,0.0
29,77.20225000051073,28.420250003080323,715714.179959981,3145730.730803134,219961.16891985544,47.953593699096174,0.1197728191801446,0.1409072278676581,0.1173218698155622,-0.458463025801252,0.1574831040597041,0.0009685101334066,0.0
30,77.20675000051178,28.420250003080223,716155.0826600319,3145738.808637135,219962.20271130663,47.896607312791815,0.1121876684863158,0.1389895346554286,0.1262770433939155,-0.4540436268864232,0.1642202173247927,0.0005276086468136,0.0
31,77.2112500005128,28.420250003080124,716595.9860946247,3145746.9029902685,219963.23861874227,46.46778777430471,0.1163579149254925,0.1331088709857875,0.1156886934210134,-0.4487019189568153,0.1552524717321722,0.0,0.0
32,77.21575000051385,28.42025000308002,717036.8902652576,3145755.013862719,219964.276642019,45.866168789249,0.1448508246476278,0.1578178834928989,0.0663300658420161,-0.4481374627025415,0.1261185825650089,0.0,0.0
33,77.22025000051488,28.420250003079925,717477.7951734277,3145763.1412546695,219965.31678093912,43.46132991082273,0.1698170925024223,0.1444682159410749,0.0009095283324931,-0.423808752158577,0.0730701398707042,0.0,0.0
