ward_id,building_density,road_density
0,0.0030139447216178,0.0022321610039833
1,0.0832626447835709,0.0395894738715055
2,0.2210610441651624,0.0017476776686208
3,0.1993437325243301,0.0
4,0.2323432227198811,0.0
5,0.2979707020034454,0.0
6,0.289472628776058,0.0
7,0.1685539571167842,0.0
8,0.2813407880100083,0.0
9,0.1769612784374253,0.0
10,0.046382063368177,0.0040850763959989
11,0.2922094069039549,0.0368392092061808
12,0.0233016975206646,0.0297853072185938
13,0.1849797280628785,0.0357282237617567
14,0.078802815155393,0.0226698432600235
15,0.384698362203704,0.0417252170664721
16,0.1000216673357137,0.0
17,0.2538715440705193,0.0007975869599448
18,0.1739484993675889,0.0
19,0.1394183975694908,0.0366018701473142
20,0.2661964219772224,0.0089454188221673
21,0.3692888724629848,0.0336860745020104
22,0.2598262570924095,0.0028259931138127
23,0.3358563209795615,0.0393916798834015
24,0.5022930477111326,0.0311572783188566
25,0.2533267887926071,0.0308807791425975
26,0.1797601942392456,0.0347142321009166
27,0.6253297382507692,0.056782519665293324
28,0.17543428834617975,0.0
29,0.1714735912712134,0.0276607015480313
30,0.1654148035246615,0.0
31,0.1319030099724925,0.0
32,0.0,0.0504088168053747
33,0.3271556626967853,0.0
34,0.2844024751818242,0.0159813481962678
35,0.3891369343300255,0.0
36,0.1929487244947745,0.0221229382436919
37,0.0789766509384557,0.0
38,0.0,0.0489788728413821
39,0.2319604913508504,0.0
40,0.1092630203295804,0.0138193700157414
41,0.5669516618473576,0.006099816717368
42,0.1001876348740198,0.0242123692790769
43,0.2197679342192498,0.0231000972906627
44,0.0674552683770418,0.0530849817118746
45,0.2624016848372691,0.0308692402854739
46,0.0974233955588986,0.0181574939119907
47,0.2744143651716493,0.0531617943781942
48,0.2204574034063444,0.0566904758464817
49,0.1027548006513067,0.0294392040505343
50,0.2268901588910336,0.0107616355007247
51,0.3569250203865296,0.0
52,0.2427196494249972,0.0
53,0.0671859317591924,0.0052804688037284
54,0.0004789750436423,0.0009679829995177
55,0.1049298224935855,0.0053258693912482
56,0.0,0.0
57,0.0,0.0
58,0.0112113738258925,0.0331980409210799
59,0.000757192012397,0.0
60,0.0002903792554574,0.0004678157097558
61,0.1335090625516604,0.0
62,0.0120571790755852,0.0297854826026119
63,0.2336386030983142,0.0475697380363121
64,0.2596999350413861,0.0
65,0.2108767304138708,0.0311401959855801
66,0.1357493824180044,0.0009118558294494
67,0.1220108260360075,0.0425469679184204
68,0.0133948786946793,0.0502865324142232
69,0.007547699035254,0.0151907648494358
70,0.0085409585109853,0.0127732451427415
71,0.0,0.0646910946489321
72,0.0236001407108776,0.0683341522285583
73,0.0,0.0552395156596063
74,0.0438987802335902,0.0011609260942223
75,0.1800371560953456,0.0
76,0.1249374952980668,0.0436750097250535
77,0.0303006717758395,0.0302892770905264
78,0.2786027545188529,0.0137370060784082
79,0.2660135591984611,0.0623114590025724
80,0.1981501651732546,0.0438060983210997
81,0.0706283500123166,0.0066752051700838
82,0.1973679609599773,0.0613039695026692
83,0.0271797484453486,0.0763669035602769
84,0.5086731635269166,0.0
85,0.1411857470294067,0.0125841697779563
86,0.0774891435466028,0.0
87,0.0448116147580528,0.0311719870317699
88,0.2755986502897907,0.0102555690335676
89,0.0152469442978675,0.0011143004318079
90,0.2498694062184546,0.0
91,0.1766596322247386,0.0
92,0.1601728081204447,0.0
93,0.0,0.0
94,0.0,0.0
95,0.1654148035246615,0.0
96,0.1319030099724925,0.0
97,0.1000216673357137,0.0
98,0.1797601942392456,0.0347142321009166
