cell_id,lst,ndvi,building_density,road_density,lon,lat,elevation,dist_to_water,pct_residential,pct_industrial_commercial,pct_green_farm,population,ndvi_dry,ndvi_wet,ndvi_seasonal_delta
0,45.46600100953621,0.1350493485208098,0.0044881665183445,0.0121887792523063,77.17462626751875,28.40730820068824,301.9312210382708,1216.1367020984403,0.0,0.0,0.0,206.08180892794732,0.1314827607727293,0.3788977595566217,0.2474149987838923
1,45.53524399886566,0.1247157864667358,0.0,0.0,77.17131515768968,28.411577433661968,300.427289229528,1543.7964156620612,0.0,0.0,0.0,270.90949536117853,0.1256129444392217,0.265135021705228,0.1395220772660063
2,45.35942861636098,0.1337597149231732,0.0,0.0,77.17524963979892,28.41125035862173,295.9524287349662,1157.0397651979542,0.0,0.0,0.0,324.5866041744456,0.1314878817130008,0.3196426885373571,0.1881548068243562
3,45.69862502909655,0.1329272893861723,0.0,0.0,77.1797254731566,28.411790979323783,296.7117873709412,743.6420546078227,0.0,0.0,0.0,252.6498385934269,0.1288759140551513,0.3338868594176306,0.2050109453624793
4,48.00502663844425,0.1276495918306169,0.0,0.0,77.18430847344855,28.411591659398407,301.31771258943013,327.6135198453373,0.0,0.0,0.6044206863593758,325.1645854089774,0.1242367692062152,0.3202231721939511,0.1959864029877359
5,48.65616238729326,0.1106112891724373,0.0,0.0,77.18870043837876,28.411641144773057,298.7116161270451,149.4444465621263,0.0,0.0,0.5523542904615603,354.3136833826701,0.1108946085904619,0.3248057943180983,0.2139111857276364
6,47.51846016806434,0.1214574759043325,0.0,0.0045437193672972,77.19319289054665,28.41188605055589,292.51106727165126,303.6674795484209,0.0,0.0,0.5163828779026182,355.5581447825712,0.1209632954571611,0.3494177014735197,0.2284544060163585
7,46.20989627789219,0.1154837275912265,0.0,0.0,77.1976826307587,28.4121308084966,299.6133336438152,500.5008693801316,0.0,0.0,0.0,286.6840364044788,0.1144364856964148,0.3673896696153978,0.2529531839189829
8,43.892520210454414,0.1203048684126483,0.0,0.0,77.16641302057276,28.4160008457307,288.04592518639004,2129.110334326236,0.0,0.0,0.0,284.90748434253766,0.1211059893774787,0.292297763687,0.1711917743095212
9,44.86566204194414,0.1311322073762321,0.0,0.0,77.1707499999995,28.415750000000003,296.48895672725223,1722.6117135288562,0.0,0.0,0.0,404.0243617637485,0.1295069227604468,0.2442834474870837,0.1147765247266368
10,45.98553284659338,0.1307907873587175,0.0,0.0,77.1752499999995,28.415750000000003,290.81036568213784,1325.7190279158883,0.0,0.0,0.0,329.3407065896427,0.1292222875508784,0.3163366653494728,0.1871143777985944
11,45.74718014079927,0.132092079938399,0.0,0.0,77.17974999999947,28.415750000000003,288.8769036068342,947.2555635982732,0.0,0.0,0.0,337.0983649272545,0.1309435884345255,0.3447761050938665,0.2138325166593409
12,46.70616161833703,0.1204358562818859,0.0,0.0,77.18424999999947,28.415750000000003,294.9863682403918,652.6993297141405,0.0,0.0,0.1879274762191767,404.9398326163199,0.1200159207232897,0.3595692919424633,0.2395533712191736
13,48.40762668797678,0.1161190037510174,0.0,0.0002707932656971,77.18874999999946,28.415750000000003,292.5148241912801,360.0241063293964,0.0,0.0,0.8341281350138693,496.9898805019903,0.1195691692556677,0.3092011509035123,0.1896319816478446
14,46.02796575963088,0.1269475405696417,0.0,0.0059812004106688,77.19324999999945,28.415750000000003,290.5571960908391,22.08019324061585,0.0,0.0,0.468002298877442,562.0774991278555,0.1296494102267454,0.3065954826198155,0.17694607239307
15,46.87297917789477,0.1163203430636592,0.0,0.0,77.19774999999944,28.415750000000003,292.8719261718532,396.9547002529111,0.0,0.0,0.0,488.6041895099714,0.116464107027352,0.3347424554696813,0.2182783484423293
16,47.47828292823903,0.1151447129779442,0.0,0.0,77.20224999999944,28.415750000000003,303.2131504922648,835.3567138442296,0.0,0.0,0.0,409.683168482313,0.1132895999211089,0.33195368638773,0.218664086466621
17,47.58106311290083,0.1193114999641459,0.0,0.0,77.20674999999943,28.415750000000003,302.6979704355901,771.5898455253463,0.0,0.0,0.0,364.114828008764,0.1201543089450197,0.2660725860075498,0.14591827706253
18,46.230103231988736,0.1320966644797946,0.0,0.0,77.21124999999942,28.415750000000003,300.0515041982532,507.38690279169344,0.0,0.0,0.0,318.6368892333086,0.135535496388473,0.3118045472157118,0.1762690508272388
19,44.8539651353284,0.137706715469856,0.0,0.0,77.21574999999942,28.415750000000003,302.8893514676721,543.906046900992,0.0,0.0,0.0,317.3986374275358,0.1391167946718484,0.3023638627564655,0.1632470680846171
20,41.74595005890183,0.1872609283376483,0.0,0.0,77.2202186905587,28.41578174719574,283.1934155205589,842.8513821013129,0.0,0.0,0.0,354.03695955837475,0.1955332120936611,0.1932058768849723,-0.0023273352086888
21,45.05318434635037,0.125747559906643,0.0,0.0,77.1662499999995,28.42025,285.0726007171484,2337.609906706909,0.0,0.0,0.0,262.4759154824649,0.1272060152981939,0.3129327788911916,0.1857267635929977
22,46.05983901596353,0.1277674242734185,0.0,0.0,77.1707499999995,28.42025,293.60708758898164,1956.1030841880167,0.0,0.0,0.0,369.09811287674256,0.1267116268673161,0.3358269482999797,0.2091153214326636
23,45.749815682722414,0.1263941585863125,0.0,0.0,77.1752499999995,28.42025,289.6732724792192,1605.365305353502,0.0,0.0,0.0,337.7488975001317,0.1263784781032334,0.3778090516260811,0.2514305735228477
24,45.426456953718166,0.1362490445172813,0.0,0.0,77.17974999999947,28.42025,282.17253743935913,1259.5961880753805,0.0,0.0,0.0,330.28524956422694,0.1365957821380124,0.3631781939925414,0.226582411854529
25,45.9294734437604,0.1377243400299668,0.0,0.0,77.18424999999947,28.42025,283.3380602684225,867.185135964682,0.0,0.0,0.0,557.7086619545432,0.1402024174752058,0.352352830497654,0.2121504130224481
26,46.14176253360577,0.1312212800825164,0.0,0.0035425995862641,77.18874999999946,28.42025,289.9146554149087,545.7435599758111,0.0,0.0,0.0785612930588515,952.8597338732552,0.1330377284616974,0.3593872828047479,0.2263495543430504
27,47.31620848517981,0.1294665715286155,0.0001725696349878,0.0017877754411565,77.19324999999945,28.42025,287.2995008085496,445.65087656135466,0.0,0.0,0.0,987.6085319145052,0.1290218218161111,0.3601338662361484,0.2311120444200372
28,46.81979447004046,0.1321302864295668,0.0,0.0,77.19774999999944,28.42025,285.4554611445612,671.5870716767039,0.0,0.0,0.0,508.8558740316653,0.1305013005639874,0.3241120980578781,0.1936107974938907
29,47.953593699096174,0.1197728191801446,0.0009685101334066,0.0,77.20224999999944,28.42025,293.6732397535797,1003.1023190543134,0.0,0.0,0.0,424.4760964786304,0.1151389488766336,0.3298781127518482,0.2147391638752145
30,47.896607312791815,0.1121876684863158,0.0005276086468136,0.0,77.20674999999943,28.42025,296.6196658133844,600.5036632822001,0.0,0.0,0.0,443.6983566321579,0.1098973208154471,0.3534873624319938,0.2435900416165466
31,46.46778777430471,0.1163579149254925,0.0,0.0,77.21124999999942,28.42025,297.3139099859352,159.89749410235257,0.0,0.0,0.0,381.1181458940693,0.1184010796133538,0.3589127462881609,0.240511666674807
32,45.866168789249,0.1448508246476278,0.0,0.0,77.21574999999942,28.42025,299.8003600663873,253.56904810507345,0.0,0.0,0.0,345.5712972117405,0.1465799108608063,0.3260448266467446,0.1794649157859383
33,43.46132991082273,0.1698170925024223,0.0,0.0,77.22024999999941,28.42025,292.21769645142706,694.5202323462553,0.0,0.0,0.0,379.69223849726654,0.1744446457497009,0.2216577313773846,0.0472130856276837
34,45.16384518865434,0.1434553361950774,0.0,0.0,77.22474429588449,28.42025573450569,292.55699583848804,1012.2018050775524,0.0,0.0,0.0,376.37950714709706,0.1487598983701762,0.221897366225975,0.0731374678557988
35,45.79703639594222,0.123907828454536,0.0,0.0,77.1662499999995,28.424750000000003,283.9772765622362,2489.7367430158047,0.0,0.0,0.0,252.4104678247489,0.125474772114085,0.286312682280384,0.1608379101662989
36,44.55541655399207,0.1481353617056782,0.0,0.0014419329934335,77.1707499999995,28.424750000000003,281.56502961326896,2048.8119372324213,0.0,0.0,0.0,350.5230221729653,0.1480608651434105,0.3255792388414765,0.1775183736980659
37,44.83328673604164,0.140922751814483,0.0,0.0002205962315601,77.1752499999995,28.424750000000003,281.6968311790601,1607.9000679461794,0.0,0.0,0.0,443.3847832436654,0.143513885157881,0.3595446270183726,0.2160307418604915
38,45.233708838961135,0.1537296049403061,0.0,0.0,77.17974999999947,28.424750000000003,272.98080573718613,1167.0169532576324,0.0,0.0,0.0,532.3688432880477,0.1576957086552015,0.3522587148139299,0.1945630061587283
39,45.43477329205035,0.1388017188931842,0.0,0.0,77.18424999999947,28.424750000000003,277.70899805858,726.2168269509009,0.0,0.0,0.0,1032.535391957152,0.1428962373590626,0.353395950143581,0.2104997127845184
40,45.87228815770909,0.1400787798705682,0.0076174081648407,0.0148504753218187,77.18874999999946,28.424750000000003,289.58872839280434,285.8885633189207,0.0,0.0,0.0,1630.1588869132247,0.1421953266079417,0.3094436198496034,0.1672482932416616
41,47.18164356880585,0.1332556615796412,0.0106202382133862,0.0143341575697776,77.19324999999945,28.424750000000003,280.92232299796103,58.39684180574642,0.0,0.0,0.0,1447.6144772922291,0.134698558050165,0.3184221578966963,0.1837235998465313
42,46.9857498096522,0.1377837462536932,0.0028011281580857,0.0028826400206139,77.19774999999944,28.424750000000003,279.8754818378772,498.5176473486001,0.0,0.0,0.0,621.9165091009701,0.1373059168930805,0.3522429491364018,0.2149370322433213
43,45.88352078848596,0.1703736221388113,0.0038351739480448,0.0094735407019628,77.20224999999944,28.424750000000003,285.7805845452756,939.4232765189358,0.0,0.0,0.0,441.9474155575621,0.1680917932135228,0.3376937686785852,0.1696019754650624
44,46.74766206078847,0.1487221477978356,0.0004925856555342,0.0027618101071563,77.20674999999943,28.424750000000003,283.5878224422626,782.3855202980739,0.0,0.0,0.0,450.2484535217285,0.1433941442751277,0.3417808128778295,0.1983866686027017
45,46.16447244234749,0.1130291505470637,0.0,0.0,77.21124999999942,28.424750000000003,296.84116513593705,524.6244178268144,0.0,0.0,0.0,414.1986810160618,0.1159155397883972,0.3446763278371296,0.2287607880487323
46,45.06328660225663,0.1321402398717969,0.0,0.0,77.21574999999942,28.424750000000003,301.8137948494352,313.40094768926167,0.0,0.0,0.0,386.9247049481261,0.1357483502978306,0.3103546658543932,0.1746063155565625
47,45.09192626948546,0.123415493791917,0.0,0.0,77.22024999999941,28.424750000000003,299.9618278738099,347.71189126695447,0.0,0.0,0.0,419.3313270344453,0.1260091764615835,0.2729574498632206,0.1469482734016371
48,45.293574736949004,0.1526187236633514,0.0012457150289857,0.0036374924007754,77.2247499999994,28.424750000000003,292.38724331926835,709.7101494175564,0.0,0.0,0.0,455.0984059128108,0.157954347266156,0.2552596282796938,0.0973052810135377
49,45.26691279088907,0.1533905548754343,0.0,0.0,77.22924999999941,28.424750000000003,286.2872754891068,1129.3192470485103,0.0,0.0,0.0,411.6273736953735,0.159883680840958,0.3136237944891619,0.1537401136482038
50,43.94513246337501,0.1636083916973818,0.0,0.0,77.23349198001173,28.42518221803207,280.1277467546595,1527.80011109197,0.0,0.0,0.0,257.2756369459862,0.1646478610357428,0.2665211871205026,0.1018733260847598
51,44.85641089571103,0.165916497700376,0.0,0.0099031953900358,77.16231339465763,28.42975502409084,264.6726574200691,2452.483701892548,0.0,0.0,0.0,221.8913008596384,0.1672036506342149,0.2920998748324687,0.1248962241982537
52,46.016988909757096,0.1280940619841567,0.0,0.0013761243361812,77.1662499999995,28.42925,274.91007649474085,2543.920892908356,0.0,0.0,0.0,411.5402951857623,0.1284917082096981,0.3147540880782217,0.1862623798685235
53,44.41681025967462,0.1741590470005347,0.0,0.0081870478145805,77.1707499999995,28.42925,269.209143982556,2114.046376971566,0.0,0.0,0.0,566.370814633837,0.1726584549232401,0.3254300454933838,0.1527715905701437
54,44.611914093335926,0.1639109062258964,0.0,0.0066549144105637,77.1752499999995,28.42925,268.144305827086,1686.2352360264642,0.0,0.0,0.0,936.0434907576616,0.1644823816802363,0.3437878011429557,0.1793054194627194
55,44.2843602898817,0.1666696359190887,0.0,0.0,77.17974999999947,28.42925,267.59092187412114,1267.454714359923,0.0,0.0,0.0,1143.114763327206,0.1683994150382606,0.3212495286976201,0.1528501136593595
56,45.049627166900194,0.1694687462063486,0.0,0.0051817208437918,77.18424999999947,28.42925,273.55759383264825,870.8336995978967,0.0,0.0,0.0,1548.7872766681746,0.1706572146407992,0.3117328940110365,0.1410756793702373
57,45.651306449781536,0.1508088776908844,0.0121975291164252,0.0177541399585813,77.18874999999946,28.42925,281.35702330553164,546.9201216981713,0.0,0.0,0.0,1646.9136643652823,0.1526191943090122,0.3048200380205852,0.1522008437115729
58,46.60088666459065,0.1343125662869464,0.0072304363627747,0.0195129728886193,77.19324999999945,28.42925,280.91655886157804,464.0832651406574,0.0,0.0,0.0,1568.3777514887793,0.1363781489280226,0.2716448040068087,0.135266655078786
59,46.89010550915162,0.1655238454233493,0.0023669013853637,0.0120180334818701,77.19774999999944,28.42925,274.2325558494173,582.8089286847722,0.0,0.0,0.0,795.5353079403149,0.1657143832159501,0.3069959957236494,0.1412816125076992
60,45.79885190656787,0.178607213373912,0.0064795479493344,0.0085727768174104,77.20224999999944,28.42925,276.3465682137833,685.2156226407701,0.0,0.0,0.0,484.03753056993673,0.1764266297946763,0.2970456982093532,0.1206190684146768
61,47.35968084720317,0.1533873336046542,0.0067605543161639,0.0023735097956689,77.20674999999943,28.42925,283.28464535366163,994.0877409078812,0.0,0.0,0.0,503.84734048282405,0.1519425738506522,0.2017923934041544,0.0498498195535021
62,46.5561703432957,0.1371315659930495,0.0,0.0,77.21124999999942,28.42925,291.18382301233413,641.5768508131307,0.0,0.0,0.0,466.8808422238219,0.1386884232397813,0.2120676504200463,0.0733792271802649
63,45.53712194582397,0.1380200735135426,0.0,0.0053601328582599,77.21574999999942,28.42925,294.99423339287455,265.22397404860266,0.0,0.0,0.0,451.1080100302604,0.1407498817743494,0.2461638670904013,0.1054139853160519
64,46.54213864268938,0.1367364616535719,0.0,0.0042749204273156,77.22024999999941,28.42925,296.1789873417719,303.5852367768138,0.0,0.0,0.0,495.9660975213144,0.1383320927012554,0.2588130450592191,0.1204809523579636
65,46.30718008097555,0.1254656741306666,0.0162853750720909,0.0308740611708507,77.2247499999994,28.42925,297.5390922771828,688.2939279282813,0.0,0.0,0.0,549.8134403004366,0.1248833135367924,0.2040619450042353,0.0791786314674428
66,44.397104632785776,0.1468723733166723,0.0,0.015822376276916,77.22924999999941,28.42925,291.12407876230634,1115.4393232532336,0.0,0.0,0.0,510.241341198192,0.1510432009653832,0.0924428151221049,-0.0586003858432783
67,42.75914349895895,0.1943582545288895,0.0,0.0,77.23374999999939,28.42925,274.84545492904243,1550.334101257161,0.0,0.0,0.0,403.2922919740864,0.1936295744140367,0.194425993181353,0.0007964187673163
68,45.14525112245915,0.1610816261726088,0.0,0.0,77.23824603801174,28.429254065369417,279.76304476102183,1987.5627662416784,0.0,0.0,0.0,338.7249669355504,0.1592101973286833,0.1880021646793196,0.0287919673506363
69,42.81397949238942,0.200762654601819,0.0009997575882817,0.0046732755330867,77.15729423875155,28.433798015965888,257.7160297393466,1810.741669808629,0.0,0.0,0.0,1665.7573417364383,0.1986785582171133,0.2893819486456996,0.0907033904285863
70,43.00177068460268,0.1941927140466036,0.0,0.0053527803773489,77.16174999999951,28.43375,261.41612399611773,2064.9085219171584,0.0,0.0,0.0,655.4654684029373,0.1926664636482376,0.2862090509185511,0.0935425872703134
