cell_id,albedo,ndbi,mndwi,ndwi,bsi
0,0.13697087840343658,0.08088217928691122,-0.45472253334240814,-0.08088217928691122,0.13357579890692628
1,0.13856774922256532,0.09599616058283343,-0.4544106484315787,-0.09599616058283343,0.1487044637524887
2,0.1338812693826454,0.08752407604421811,-0.45766987849356483,-0.08752407604421811,0.13800478377183997
3,0.14056715797826552,0.09037192178601937,-0.46050759292045773,-0.09037192178601937,0.14197155905743186
4,0.16191088576584262,0.09578587235315969,-0.45547329840865824,-0.09578587235315969,0.15251448118242938
5,0.167105558874391,0.11925814512005092,-0.45087214024420397,-0.11925814512005092,0.1737519745051974
6,0.15933957486311656,0.08981982803877041,-0.43333491522967826,-0.08981982803877041,0.14986781103745947
7,0.12900527561638922,0.11559750921077547,-0.45213144666366695,-0.11559750921077547,0.15769907692924215
8,0.11550566802346099,0.10359909768564977,-0.45057581817401243,-0.10359909768564977,0.14545234403911816
9,0.13370320349713938,0.0883956502258716,-0.4530089940078775,-0.0883956502258716,0.13907140182915198
10,0.14086674876991345,0.09170522166289476,-0.45533449657969377,-0.09170522166289476,0.1440055014634025
11,0.1389195181602745,0.08769345958996641,-0.45352804729154766,-0.08769345958996641,0.14008890433031293
12,0.14299655335927164,0.10451584283210388,-0.4535472257950456,-0.10451584283210388,0.15550531515577512
13,0.18028913387323564,0.09160050014952394,-0.42656952932233927,-0.09160050014952394,0.15791928053430693
14,0.14330769375825353,0.05262889629000801,-0.3980981835549265,-0.05262889629000801,0.12097726276937644
15,0.13798301261399273,0.1145670280168758,-0.451745202436832,-0.1145670280168758,0.1589169769513053
16,0.1303000802611452,0.11243642552306661,-0.45072218005396564,-0.11243642552306661,0.15462159195150588
17,0.13953075104918436,0.10968808836622725,-0.4521198451788648,-0.10968808836622725,0.154074106881092
18,0.13933594322201404,0.0768874093991508,-0.44036144304689934,-0.0768874093991508,0.13181754673782242
19,0.1455873617612683,0.06158598505384059,-0.43315717360578326,-0.06158598505384059,0.12200979799418149
20,0.12380025013988132,-0.037695441609065926,-0.41553478299117336,0.037695441609065926,0.030848182866023744
21,0.1285237573790172,0.09841945580933821,-0.45269562800864743,-0.09841945580933821,0.14475008726889874
22,0.14010870931019945,0.10530270667688801,-0.46305001530986734,-0.10530270667688801,0.15247827345108694
23,0.13867052402926186,0.102332775979822,-0.46051800590767633,-0.102332775979822,0.15035734560644215
24,0.1443325172128157,0.07479155271679493,-0.44801114827508715,-0.07479155271679493,0.132810518120897
25,0.14905939812589294,0.07215048890411502,-0.44479832231451094,-0.07215048890411502,0.13292436631306076
26,0.1483258555079288,0.0727658706055978,-0.43511567665759177,-0.0727658706055978,0.134198451522533
27,0.14485892397069533,0.09605084382826978,-0.45194928557518155,-0.09605084382826978,0.14568404401749846
28,0.14574807225887457,0.09461415213651389,-0.4524383948206808,-0.09461415213651389,0.1427274381178256
29,0.14090722786765814,0.1173218698155622,-0.45846302580125203,-0.1173218698155622,0.15748310405970412
30,0.13898953465542868,0.1262770433939155,-0.45404362688642325,-0.1262770433939155,0.16422021732479275
31,0.1331088709857875,0.11568869342101348,-0.4487019189568153,-0.11568869342101348,0.15525247173217224
32,0.1578178834928989,0.06633006584201617,-0.44813746270254157,-0.06633006584201617,0.12611858256500894
33,0.14446821594107495,0.0009095283324931539,-0.42380875215857705,-0.0009095283324931539,0.07307013987070428
34,0.1428801911934189,0.06017549610764948,-0.43745612585375016,-0.06017549610764948,0.11720108806659989
35,0.13790538858085752,0.10021460884935482,-0.44673451833574945,-0.10021460884935482,0.14981153269008052
36,0.13194419619051218,0.05175667452860396,-0.4433970190561601,-0.05175667452860396,0.10765987857354398
37,0.13445354828077216,0.07199216192696113,-0.4471012627272757,-0.07199216192696113,0.1247998873608761
38,0.1579310209486444,0.04338801710158234,-0.4387858626034662,-0.04338801710158234,0.11110771297897098
39,0.14627026222007775,0.0676417551738749,-0.4402593178205453,-0.0676417551738749,0.12701679915986008
40,0.15970136784655792,0.031061509195191284,-0.3926297962074206,-0.031061509195191284,0.10628587120857728
41,0.17342104967498503,0.048646070969675756,-0.39690304161041406,-0.048646070969675756,0.12249883159360946
42,0.16123118672506728,0.07146084525667913,-0.4337171963290974,-0.07146084525667913,0.13069715737136123
43,0.16426446841350362,0.015954966147770113,-0.42962630100972676,-0.015954966147770113,0.08512510597878611
44,0.14648324385554767,0.05380960538610024,-0.43781870225920594,-0.05380960538610024,0.10993602240944281
45,0.13083398441301816,0.11802612053123733,-0.4465127054720845,-0.11802612053123733,0.1569039540717461
46,0.14502464457886205,0.07513901439577926,-0.4363716163538347,-0.07513901439577926,0.13333884898633758
47,0.14377093479039307,0.09061120610526502,-0.4342028057826572,-0.09061120610526502,0.1450938861345161
48,0.15845362879893055,0.032129678912464446,-0.4163515219774956,-0.032129678912464446,0.1021579543159221
49,0.14860558804276275,0.04893671686142762,-0.43805911486115845,-0.04893671686142762,0.10902730865107724
50,0.13937064410926972,0.032528196919366884,-0.4394555427750751,-0.032528196919366884,0.08902629985505278
51,0.1554943033349077,0.009440533787925174,-0.42119836236025043,-0.009440533787925174,0.08010194309093864
52,0.14008761400670636,0.0890958255845905,-0.44068992406079605,-0.0890958255845905,0.14078606250098558
53,0.16772473372292387,-0.007236341513527531,-0.41246310370562184,0.007236341513527531,0.07130094507619053
54,0.16918969463514155,0.005257665150284779,-0.40617664634768746,-0.005257665150284779,0.08360708266097355
55,0.1671862067898119,0.0010522244087333974,-0.40706467689395054,-0.0010522244087333974,0.07863906207878585
56,0.16810302830416268,-0.013750398498803757,-0.4013063667036055,0.013750398498803757,0.0690947033716032
57,0.16906039796026373,0.011009688527246044,-0.3845855257604387,-0.011009688527246044,0.0891255271562195
58,0.1871628281022226,0.03398184041258762,-0.3782033385821781,-0.03398184041258762,0.11400849956540675
59,0.18871695933785812,0.00996613909528472,-0.4055555018532048,-0.00996613909528472,0.0893757909978194
60,0.18564586629241794,-0.014475735533889986,-0.39841508457207897,0.014475735533889986,0.06848373791271778
61,0.15539343144076076,0.044481340801735055,-0.4315952341076829,-0.044481340801735055,0.10678919799664956
62,0.13944293118472023,0.07215988655282794,-0.44272391796274374,-0.07215988655282794,0.12710115175947184
63,0.14432258009452684,0.05934186562573373,-0.4297213521886807,-0.05934186562573373,0.12258031422334373
64,0.15450984672561183,0.08751320349480514,-0.44937706678988343,-0.08751320349480514,0.1401979757612381
65,0.1820479470533825,0.03875795800946638,-0.3678916268945793,-0.03875795800946638,0.11848143161269248
66,0.15597980348488716,0.013720177984169553,-0.38002385480785417,-0.013720177984169553,0.09074971013203006
67,0.1502432783868774,-0.029454625342013502,-0.42383729537935244,0.029454625342013502,0.041622292154869
68,0.14603862623417102,0.032722150210295946,-0.4304020681587049,-0.032722150210295946,0.0912374358086362
69,0.1625969675882279,-0.06996658259698242,-0.3970013452012907,0.06996658259698242,0.019562071415677056
70,0.15993935421194516,-0.04965694816429145,-0.41070994587548665,0.04965694816429145,0.03462408888855573
71,0.16143697028715084,-0.006989209932937486,-0.4091905207979368,0.006989209932937486,0.07154458445415195
72,0.16864539375778656,-0.0515423654575814,-0.39721572112844017,0.0515423654575814,0.03507984186739523
73,0.16904938128134556,-0.007806622330625527,-0.34122153261624083,0.007806622330625527,0.07983034872983137
74,0.16974251915784283,-0.03327741550138236,-0.34207426060407564,0.03327741550138236,0.0590960971341796
75,0.1740338922285597,-0.011240922216400969,-0.39848474068023865,0.011240922216400969,0.0704126108575418
76,0.18336768386843746,0.00906696592492523,-0.399774367740482,-0.00906696592492523,0.0883495733114641
77,0.19034220225649248,0.027405670889975788,-0.36478036746483555,-0.027405670889975788,0.10653438944904291
78,0.18261088419244395,-0.005780729059265545,-0.38589736286500753,0.005780729059265545,0.0757980491033718
79,0.19613614529681297,0.001235841714820653,-0.39419878979562034,-0.001235841714820653,0.08190989604050988
80,0.18424548827263432,-0.005688824929547337,-0.40211712684822115,0.005688824929547337,0.07675955549089034
81,0.17731651296711412,0.05171817155944938,-0.4136206612621112,-0.05171817155944938,0.11959980570623632
82,0.16433221553042524,0.09318956987900288,-0.4459622280266205,-0.09318956987900288,0.14750346513395865
83,0.1615992370927735,0.0776311937519314,-0.44948903178465827,-0.0776311937519314,0.1327332354225842
84,0.17824781246770313,0.03819072113936801,-0.32202700071100876,-0.03819072113936801,0.12184798050857477
85,0.17038169634542885,0.0374870493166512,-0.3144627592200718,-0.0374870493166512,0.12135182389309884
86,0.1532732460391989,0.023179091900965662,-0.3958979874908056,-0.023179091900965662,0.09373573086631952
87,0.1463671605470274,0.0480973768918713,-0.42032285104539296,-0.0480973768918713,0.10542369573396872
88,0.13922424533330385,0.05128708275472705,-0.4253581526770232,-0.05128708275472705,0.10584422713485603
89,0.1744482124826361,0.02756567213879744,-0.2993788075205953,-0.02756567213879744,0.11570636738852483
90,0.1700377696664264,-0.05656923409678325,-0.3622562917087838,0.05656923409678325,0.03615474109104852
91,0.15781410541753418,-0.06673561130976131,-0.39406262518413226,0.06673561130976131,0.0229234175474393
92,0.15769305359168365,-0.049733339328419696,-0.4038965147085186,0.049733339328419696,0.03631425674565623
93,0.1545669405941517,-0.09857450080711984,-0.4054811008094605,0.09857450080711984,-0.010662029091808467
94,0.15830198018707625,-0.08785723862708408,-0.4009483365714076,0.08785723862708408,0.0005001217865288638
95,0.17164796323112977,-0.045977609738131676,-0.38473224683483426,0.045977609738131676,0.041233315342614145
96,0.17414655877361648,0.023446676173120913,-0.33249046760144835,-0.023446676173120913,0.09922892150001315
97,0.1856717550703278,0.02229840759507828,-0.3691750557141989,-0.02229840759507828,0.09696160422252302
