cell_id,elevation
0,301.9312210382708
1,300.42728922952796
2,295.9524287349662
3,296.7117873709412
4,301.31771258943013
5,298.7116161270451
6,292.51106727165126
7,299.6133336438152
8,288.04592518639004
9,296.48895672725223
10,290.81036568213784
11,288.8769036068342
12,294.9863682403918
13,292.5148241912801
14,290.5571960908391
15,292.8719261718532
16,303.21315049226473
17,302.69797043559015
18,300.0515041982532
19,302.8893514676721
20,283.1934155205589
21,285.0726007171484
22,293.60708758898164
23,289.6732724792192
24,282.17253743935913
25,283.3380602684225
26,289.9146554149087
27,287.2995008085496
28,285.4554611445612
29,293.6732397535797
30,296.6196658133844
31,297.3139099859352
32,299.8003600663873
33,292.21769645142706
34,292.55699583848804
35,283.9772765622362
36,281.56502961326896
37,281.69683117906015
38,272.98080573718613
39,277.70899805858
40,289.58872839280434
41,280.92232299796103
42,279.8754818378772
43,285.7805845452756
44,283.5878224422626
45,296.84116513593705
46,301.81379484943517
47,299.9618278738099
48,292.38724331926835
49,286.2872754891068
50,280.1277467546595
51,264.6726574200691
52,274.91007649474085
53,269.20914398255593
54,268.14430582708593
55,267.59092187412114
56,273.55759383264825
57,281.35702330553164
58,280.91655886157804
59,274.2325558494173
60,276.3465682137833
61,283.28464535366163
62,291.18382301233413
63,294.99423339287455
64,296.1789873417719
65,297.5390922771828
66,291.12407876230634
67,274.84545492904243
68,279.76304476102183
69,257.7160297393466
70,261.41612399611773
71,262.21119313787494
72,262.1991306060431
73,265.4008495196834
74,268.9275961470856
75,269.75572218392546
76,271.18727408261685
77,273.58665541728163
78,270.7571008539308
79,273.5776815100281
80,278.2932811994538
81,284.63465027637466
82,287.5725758811775
83,293.0499163138719
84,297.50895230593903
85,295.5432847156776
86,287.50891011125304
87,282.66659165389063
88,278.1084019366228
89,259.4439561839256
90,252.34195882920554
91,256.2224222562908
92,257.4001716327624
93,260.1676277813726
94,258.1795798413864
95,260.08298866098323
96,266.9253154052803
97,266.0287281164316
98,267.2468698123296
99,267.3596956356632
100,269.7699533157099
101,273.4240032638363
102,275.8313900336155
103,278.1661204798945
104,285.6063095120891
105,292.49152590050534
106,294.8975091070202
107,298.9912094403581
108,296.566984064474
109,289.4763358134438
110,286.00108298171625
111,288.1330398458493
112,257.831426174762
113,252.38538444231995
114,256.55072504535946
115,259.8477456566082
116,258.76948928511194
117,254.31561625339342
118,252.97317258454797
