cell_id,building_density,road_density
0,0.004488166518344569,0.01218877925230635
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.004543719367297255
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.00027079326569718666
14,0.0,0.005981200410668855
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0035425995862641275
27,0.00017256963498786952,0.0017877754411565088
28,0.0,0.0
29,0.0009685101334066876,0.0
30,0.0005276086468136001,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.001441932993433597
37,0.0,0.00022059623156013542
38,0.0,0.0
39,0.0,0.0
40,0.00761740816484077,0.014850475321818742
41,0.010620238213386205,0.014334157569777647
42,0.002801128158085723,0.0028826400206139946
43,0.003835173948044833,0.009473540701962829
44,0.0004925856555342889,0.0027618101071563267
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.001245715028985796,0.0036374924007754475
49,0.0,0.0
50,0.0,0.0
51,0.0,0.00990319539003582
52,0.0,0.0013761243361812168
53,0.0,0.008187047814580573
54,0.0,0.00665491441056379
55,0.0,0.0
56,0.0,0.005181720843791833
57,0.012197529116425241,0.017754139958581317
58,0.00723043636277476,0.019512972888619327
59,0.002366901385363731,0.012018033481870161
60,0.0064795479493344995,0.008572776817410442
61,0.006760554316163965,0.0023735097956689346
62,0.0,0.0
63,0.0,0.00536013285825994
64,0.0,0.004274920427315625
65,0.0162853750720909,0.030874061170850713
66,0.0,0.015822376276916062
67,0.0,0.0
68,0.0,0.0
69,0.000999757588281731,0.004673275533086781
70,0.0,0.005352780377348908
71,0.0,0.00955783802872631
72,0.0,0.009017207575176111
73,0.0,0.02714793789192322
74,0.0,0.016758042156262188
75,0.0,0.008483379973308048
76,0.0,0.012957205691884969
77,0.008350376311152586,0.023998878080376974
78,0.000647359917326578,0.016560164629982558
79,0.004218916172474344,0.0018308234265633574
80,0.012500117194776495,0.008852988734653771
81,0.005774298276537597,0.005858323171854722
82,0.0,2.54572495956657e-05
83,0.0,0.0
84,0.00033360389851443687,0.04798058074038626
85,0.0,0.04188420646682484
86,0.0,0.006425608433947505
87,0.0,0.0
88,0.0,0.0
89,0.2232676742213214,0.04420559076185034
90,0.02899508662252879,0.013711519900204623
91,0.010591378424247719,0.01102427724659842
92,0.002090701723255629,0.008458255307800085
93,0.0,0.0040114289588467165
94,0.0,0.009550153113272907
95,0.0,0.018222621337625786
96,0.0,0.0316968240889328
97,0.0,0.011400675648832232
98,0.0,0.002786216770623777
99,0.007996224564522555,0.014697830451034042
100,0.0056731247912443425,0.010370306250611423
101,0.07455540754156192,0.005958319340546105
102,0.07617564678730271,0.00520867611072811
103,0.0046531511806635105,0.00592065839731773
104,0.0,0.0036595217000437406
105,0.0,0.0015941657012681866
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.00017774115439411203,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.014756320210239439
113,0.0004298278759576029,0.027152721209935466
114,0.00544184550052857,0.0156839979236742
115,0.07551841764851405,0.030248177618113707
116,0.02757023189847952,0.013585686195918482
117,0.0086236594236261,0.0011161073527176948
118,0.0,0.004776830876628569
119,0.0,0.0
120,0.0,0.01869005275390007
121,0.0068884194056437476,0.015882021108898546
122,0.0058597287958102335,0.008704388666390672
123,0.008336059224489975,0.008119881476726213
124,0.014786168174416818,0.0004198365496051808
125,0.004130141574588368,0.014264277742544655
126,0.003704796022467591,0.009320762299152045
127,0.4464235060548112,0.0
128,0.3111371653744286,0.0029928741547203407
129,0.005994393111989877,0.013651941104145963
130,0.0,0.008077980672911423
131,0.0,0.003204370219397284
132,0.0,0.0028373989139190087
133,0.0,0.0
134,0.0,0.0
135,0.0002517347934272073,0.0
136,0.00015254191524541037,0.0
137,0.00012746214648330756,0.0
138,0.0,0.007727599963813562
139,0.0,0.016915316501758735
140,0.0,0.0301303699825459
141,0.0017739112259636907,0.02441135272813818
142,0.0,0.0003201322967392896
143,0.0,0.0
144,0.0,0.007037512681201564
145,0.0,0.0020814109799792107
146,0.0,0.012841657448932401
147,0.009112193861067656,0.01592378614415417
148,0.020062463204969346,0.006656072566584978
149,0.020136407933360995,0.014679464542828691
150,0.05565484308916178,0.019788148814966995
151,0.030381244513697822,0.015108444832219506
152,0.0,0.021314613732076965
153,0.0,0.00889181263278614
154,0.0,0.00375755952245395
155,0.0,0.008272418198061909
156,0.0,0.008039304208661047
157,0.0,0.004126651993021839
158,0.0,0.0012696693696458866
159,0.0,0.0010479691521147285
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0006396658219696502,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.009336638745039098
168,0.0059843045103336,0.02256657248240052
169,0.002111084311899841,0.008842296104847493
170,0.0,0.0
171,0.0,0.0016806753147184741
172,0.0,0.00863162792521012
173,0.0,0.013203267995668736
174,0.0,0.008022634479336734
175,0.027279372624256,0.014072684967070393
176,0.0002123976283174537,0.01773262971314306
177,0.0035390396498757976,0.013022793231212736
178,0.008731227955868011,0.019221908204858234
179,0.0,0.022169614738336837
180,0.0,0.012273279341199372
181,0.0,0.009362918662317551
182,0.0,0.006630766546739811
183,0.0,0.009047567370121579
184,0.0,0.006425147196367135
185,0.0,0.005002380843440592
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0008661844638859803
195,0.0,0.02516815900585194
196,0.014549272031356532,0.00912679933420152
