cell_id,albedo,ndbi,mndwi,bsi,ndvi,lst
0,0.13709268749006231,-0.01411972426691021,-0.4660410193341064,0.04441424620768957,0.45001857618690444,39.74529121151672
1,0.1450908657293529,-0.02131433893439874,-0.4664826953911417,0.04291040929602029,0.44961691906878526,40.693451035070396
2,0.13576098289149982,0.00260217350602453,-0.469932806927175,0.058288353419840344,0.4351424183243053,40.29405168396555
3,0.14055036823296835,0.030809296380029928,-0.4747824558757137,0.08341478218324425,0.402899321763447,40.339138872378186
4,0.16120163685800665,0.04559588743159645,-0.46553256809718135,0.10433832245571543,0.3540472423630695,42.92526786872276
5,0.16308583123310808,0.05941889432290565,-0.46333916237656303,0.11710756116581306,0.33421514838089417,43.320898696236036
6,0.14718061651938583,0.013032574731730579,-0.44804788969992915,0.0750062862268729,0.38656377252718793,41.5473407079966
7,0.12646809223741431,0.018377894148350497,-0.46240242824875877,0.06611522146351283,0.419894414918199,40.2968913851716
8,0.11947907228562098,-0.010779521332741343,-0.4534444149362135,0.04167953583217175,0.46179832698033063,40.21429926181772
9,0.13474188741580947,-0.008533608804814208,-0.4637113114226123,0.04862681649731649,0.44541691270089984,40.30716273917825
10,0.13737399922807336,0.015127891422507998,-0.47133982190234425,0.06611114511619715,0.42595450165820736,40.35582101084831
11,0.1322131258227769,0.019544775686720337,-0.46589252357285293,0.06786255173418,0.42829157522664507,40.62874404260966
12,0.13777260787844006,0.023060201244384636,-0.4705316101018826,0.07494797724081091,0.4123470551888016,41.719508920709615
13,0.16680521940772527,0.03913168627490404,-0.4464830927115133,0.10395940598994528,0.3382366009887322,43.526777840053164
14,0.13689244203518608,-0.028892956958758976,-0.4110032522970099,0.04340302495890034,0.40584940467803365,40.31654869743705
15,0.13340367041494502,0.023294982649015528,-0.4629234935456617,0.07091679867200473,0.4136154692422062,40.40102665892107
16,0.1283066640980252,0.01343744992770214,-0.4592096662349815,0.05851731787085418,0.4389985369646809,38.64265065722531
17,0.13618875459863913,0.029642290926698813,-0.4678716096699414,0.07186043269720924,0.43063174185659536,38.174551679552856
18,0.13385742014389118,-0.026051506976346887,-0.4713919007072936,0.025597679899395084,0.483498012429646,38.77999830803735
19,0.13386579969210963,-0.03929372415409323,-0.46769572116704416,0.015491089666651374,0.503478166623372,39.35007408543901
20,0.12435552317981856,-0.1355034952319919,-0.4651131395335913,-0.07488126880337136,0.6132362905129518,38.06539733813953
21,0.13317501002321058,-0.01160662416032465,-0.45389066561861396,0.047801783573072534,0.4376218708265902,40.48449662643888
22,0.14434243545790829,0.011416490279028222,-0.46690224029456984,0.07145633902938006,0.40672576264123717,40.61986241336384
23,0.13483193555776923,0.026654036576609235,-0.47144264964379423,0.0756022400245366,0.4172094222787525,40.595926664711556
24,0.13582089875135156,0.0032682553380820284,-0.46395265816186126,0.05538198654041164,0.44077885519891935,39.3829410694539
