cell_id,population
0,206.08180892794738
1,270.90949536117853
2,324.5866041744456
3,252.64983859342686
4,325.1645854089774
5,354.3136833826701
6,355.55814478257116
7,286.6840364044788
8,284.90748434253766
9,404.0243617637485
10,329.3407065896427
11,337.0983649272545
12,404.93983261631985
13,496.9898805019903
14,562.0774991278555
15,488.60418950997143
16,409.683168482313
17,364.11482800876394
18,318.6368892333086
19,317.3986374275358
20,354.03695955837475
21,262.4759154824649
22,369.09811287674256
23,337.7488975001317
24,330.28524956422694
25,557.7086619545432
26,952.8597338732551
27,987.6085319145052
28,508.8558740316653
29,424.47609647863044
30,443.6983566321579
31,381.1181458940693
32,345.5712972117405
33,379.69223849726654
34,376.37950714709706
35,252.4104678247489
36,350.5230221729653
37,443.3847832436654
38,532.3688432880477
39,1032.535391957152
40,1630.1588869132247
41,1447.6144772922291
42,621.9165091009701
43,441.9474155575621
44,450.24845352172844
45,414.19868101606187
46,386.9247049481261
47,419.33132703444534
48,455.0984059128108
49,411.6273736953735
50,257.2756369459862
51,221.89130085963833
52,411.5402951857623
53,566.370814633837
54,936.0434907576617
55,1143.114763327206
56,1548.7872766681746
57,1646.9136643652823
58,1568.3777514887793
59,795.5353079403149
60,484.03753056993673
61,503.84734048282405
62,466.8808422238219
63,451.1080100302604
64,495.96609752131434
65,549.8134403004366
66,510.24134119819195
67,403.2922919740864
68,338.72496693555036
69,1665.7573417364383
70,655.4654684029373
71,530.5311061784333
72,1385.890655906528
73,2180.7580859315162
74,2169.759482993332
75,1465.94716388478
76,1131.6616132324814
77,1138.458424646714
78,871.6392363604377
79,849.5142164118149
80,738.4565256604963
81,579.9887256697112
82,510.9984158235438
83,506.10200203540273
84,730.318340473549
85,714.568474369423
86,439.98479310204004
87,340.467259055493
88,254.7639618667902
89,1814.7147157706465
90,1769.227166044946
91,1554.4259867873845
92,951.9046511706183
93,579.9536944221047
94,783.8896062140371
95,1620.7313322179457
96,2405.2587577071845
97,2065.98054375742
98,1373.4684603373212
99,900.550527856864
100,997.82585588343
101,985.5237786536125
102,986.0631874084473
103,941.4700744778502
104,775.8460656932755
105,568.3918062471878
106,502.5922109790876
107,503.0434503555298
108,443.3050429774265
109,381.64450121486874
110,323.2014394610536
111,287.21007219202374
112,716.7490019779578
113,1155.4064236285637
114,1757.1910365983554
115,2386.603151119457
116,2055.9501697166293
117,1010.0010192197911
118,468.365853029139
119,492.75870350856405
120,547.0470558166504
121,1065.1693437314502
122,1580.2249941208784
123,1819.2683961905684
124,1612.6803498660815
125,1415.5639460694556
126,1071.2472406275133
127,875.3197122162466
128,780.8685782339059
129,732.8577868816898
130,620.1099419462914
131,512.9060931336646
132,473.6031342076321
133,388.3834782581703
134,371.3499340506161
135,327.84419298359
136,292.29131138745475
137,283.79394454582064
138,498.80337714400946
139,558.8820529114967
140,1262.7395449918859
141,1730.7894705828494
142,1597.1238770653224
143,727.3308311686795
144,473.69839555328963
145,441.5036917256374
146,494.245994642669
147,548.5102204565909
