cell_id,lst,ndvi,building_density,road_density,lon,lat,elevation,dist_to_water,pct_residential,pct_industrial_commercial,pct_green_farm
0,45.46600100953621,0.1350493485208098,0.0044881665183445,0.0121887792523063,77.17462626751875,28.40730820068824,301.9312210382708,1216.1367020984403,0.0,0.0,0.0
1,45.53524399886566,0.1247157864667358,0.0,0.0,77.17131515768968,28.411577433661968,300.427289229528,1543.7964156620612,0.0,0.0,0.0
2,45.35942861636098,0.1337597149231732,0.0,0.0,77.17524963979892,28.41125035862173,295.9524287349662,1157.0397651979542,0.0,0.0,0.0
3,45.69862502909655,0.1329272893861723,0.0,0.0,77.1797254731566,28.411790979323783,296.7117873709412,743.6420546078227,0.0,0.0,0.0
4,48.00502663844425,0.1276495918306169,0.0,0.0,77.18430847344855,28.411591659398407,301.31771258943013,327.6135198453373,0.0,0.0,0.6044206863593758
5,48.65616238729326,0.1106112891724373,0.0,0.0,77.18870043837876,28.411641144773057,298.7116161270451,149.4444465621263,0.0,0.0,0.5523542904615603
6,47.51846016806434,0.1214574759043325,0.0,0.0045437193672972,77.19319289054665,28.41188605055589,292.51106727165126,303.6674795484209,0.0,0.0,0.5163828779026182
7,46.20989627789219,0.1154837275912265,0.0,0.0,77.1976826307587,28.4121308084966,299.6133336438152,500.5008693801316,0.0,0.0,0.0
8,43.892520210454414,0.1203048684126483,0.0,0.0,77.16641302057276,28.4160008457307,288.04592518639004,2129.110334326236,0.0,0.0,0.0
9,44.86566204194414,0.1311322073762321,0.0,0.0,77.1707499999995,28.415750000000003,296.48895672725223,1722.6117135288562,0.0,0.0,0.0
10,45.98553284659338,0.1307907873587175,0.0,0.0,77.1752499999995,28.415750000000003,290.81036568213784,1325.7190279158883,0.0,0.0,0.0
11,45.74718014079927,0.132092079938399,0.0,0.0,77.17974999999947,28.415750000000003,288.8769036068342,947.2555635982732,0.0,0.0,0.0
12,46.70616161833703,0.1204358562818859,0.0,0.0,77.18424999999947,28.415750000000003,294.9863682403918,652.6993297141405,0.0,0.0,0.1879274762191767
13,48.40762668797678,0.1161190037510174,0.0,0.0002707932656971,77.18874999999946,28.415750000000003,292.5148241912801,360.0241063293964,0.0,0.0,0.8341281350138693
14,46.02796575963088,0.1269475405696417,0.0,0.0059812004106688,77.19324999999945,28.415750000000003,290.5571960908391,22.08019324061585,0.0,0.0,0.468002298877442
15,46.87297917789477,0.1163203430636592,0.0,0.0,77.19774999999944,28.415750000000003,292.8719261718532,396.9547002529111,0.0,0.0,0.0
16,47.47828292823903,0.1151447129779442,0.0,0.0,77.20224999999944,28.415750000000003,303.2131504922648,835.3567138442296,0.0,0.0,0.0
17,47.58106311290083,0.1193114999641459,0.0,0.0,77.20674999999943,28.415750000000003,302.6979704355901,771.5898455253463,0.0,0.0,0.0
18,46.230103231988736,0.1320966644797946,0.0,0.0,77.21124999999942,28.415750000000003,300.0515041982532,507.38690279169344,0.0,0.0,0.0
19,44.8539651353284,0.137706715469856,0.0,0.0,77.21574999999942,28.415750000000003,302.8893514676721,543.906046900992,0.0,0.0,0.0
20,41.74595005890183,0.1872609283376483,0.0,0.0,77.2202186905587,28.41578174719574,283.1934155205589,842.8513821013129,0.0,0.0,0.0
21,45.05318434635037,0.125747559906643,0.0,0.0,77.1662499999995,28.42025,285.0726007171484,2337.609906706909,0.0,0.0,0.0
22,46.05983901596353,0.1277674242734185,0.0,0.0,77.1707499999995,28.42025,293.60708758898164,1956.1030841880167,0.0,0.0,0.0
23,45.749815682722414,0.1263941585863125,0.0,0.0,77.1752499999995,28.42025,289.6732724792192,1605.365305353502,0.0,0.0,0.0
24,45.426456953718166,0.1362490445172813,0.0,0.0,77.17974999999947,28.42025,282.17253743935913,1259.5961880753805,0.0,0.0,0.0
25,45.9294734437604,0.1377243400299668,0.0,0.0,77.18424999999947,28.42025,283.3380602684225,867.185135964682,0.0,0.0,0.0
26,46.14176253360577,0.1312212800825164,0.0,0.0035425995862641,77.18874999999946,28.42025,289.9146554149087,545.7435599758111,0.0,0.0,0.0785612930588515
27,47.31620848517981,0.1294665715286155,0.0001725696349878,0.0017877754411565,77.19324999999945,28.42025,287.2995008085496,445.65087656135466,0.0,0.0,0.0
28,46.81979447004046,0.1321302864295668,0.0,0.0,77.19774999999944,28.42025,285.4554611445612,671.5870716767039,0.0,0.0,0.0
29,47.953593699096174,0.1197728191801446,0.0009685101334066,0.0,77.20224999999944,28.42025,293.6732397535797,1003.1023190543134,0.0,0.0,0.0
30,47.896607312791815,0.1121876684863158,0.0005276086468136,0.0,77.20674999999943,28.42025,296.6196658133844,600.5036632822001,0.0,0.0,0.0
31,46.46778777430471,0.1163579149254925,0.0,0.0,77.21124999999942,28.42025,297.3139099859352,159.89749410235257,0.0,0.0,0.0
32,45.866168789249,0.1448508246476278,0.0,0.0,77.21574999999942,28.42025,299.8003600663873,253.56904810507345,0.0,0.0,0.0
33,43.46132991082273,0.1698170925024223,0.0,0.0,77.22024999999941,28.42025,292.21769645142706,694.5202323462553,0.0,0.0,0.0
34,45.16384518865434,0.1434553361950774,0.0,0.0,77.22474429588449,28.42025573450569,292.55699583848804,1012.2018050775524,0.0,0.0,0.0
35,45.79703639594222,0.123907828454536,0.0,0.0,77.1662499999995,28.424750000000003,283.9772765622362,2489.7367430158047,0.0,0.0,0.0
36,44.55541655399207,0.1481353617056782,0.0,0.0014419329934335,77.1707499999995,28.424750000000003,281.56502961326896,2048.8119372324213,0.0,0.0,0.0
37,44.83328673604164,0.140922751814483,0.0,0.0002205962315601,77.1752499999995,28.424750000000003,281.6968311790601,1607.9000679461794,0.0,0.0,0.0
38,45.233708838961135,0.1537296049403061,0.0,0.0,77.17974999999947,28.424750000000003,272.98080573718613,1167.0169532576324,0.0,0.0,0.0
39,45.43477329205035,0.1388017188931842,0.0,0.0,77.18424999999947,28.424750000000003,277.70899805858,726.2168269509009,0.0,0.0,0.0
40,45.87228815770909,0.1400787798705682,0.0076174081648407,0.0148504753218187,77.18874999999946,28.424750000000003,289.58872839280434,285.8885633189207,0.0,0.0,0.0
41,47.18164356880585,0.1332556615796412,0.0106202382133862,0.0143341575697776,77.19324999999945,28.424750000000003,280.92232299796103,58.39684180574642,0.0,0.0,0.0
42,46.9857498096522,0.1377837462536932,0.0028011281580857,0.0028826400206139,77.19774999999944,28.424750000000003,279.8754818378772,498.5176473486001,0.0,0.0,0.0
43,45.88352078848596,0.1703736221388113,0.0038351739480448,0.0094735407019628,77.20224999999944,28.424750000000003,285.7805845452756,939.4232765189358,0.0,0.0,0.0
44,46.74766206078847,0.1487221477978356,0.0004925856555342,0.0027618101071563,77.20674999999943,28.424750000000003,283.5878224422626,782.3855202980739,0.0,0.0,0.0
45,46.16447244234749,0.1130291505470637,0.0,0.0,77.21124999999942,28.424750000000003,296.84116513593705,524.6244178268144,0.0,0.0,0.0
46,45.06328660225663,0.1321402398717969,0.0,0.0,77.21574999999942,28.424750000000003,301.8137948494352,313.40094768926167,0.0,0.0,0.0
47,45.09192626948546,0.123415493791917,0.0,0.0,77.22024999999941,28.424750000000003,299.9618278738099,347.71189126695447,0.0,0.0,0.0
48,45.293574736949004,0.1526187236633514,0.0012457150289857,0.0036374924007754,77.2247499999994,28.424750000000003,292.38724331926835,709.7101494175564,0.0,0.0,0.0
49,45.26691279088907,0.1533905548754343,0.0,0.0,77.22924999999941,28.424750000000003,286.2872754891068,1129.3192470485103,0.0,0.0,0.0
50,43.94513246337501,0.1636083916973818,0.0,0.0,77.23349198001173,28.42518221803207,280.1277467546595,1527.80011109197,0.0,0.0,0.0
51,44.85641089571103,0.165916497700376,0.0,0.0099031953900358,77.16231339465763,28.42975502409084,264.6726574200691,2452.483701892548,0.0,0.0,0.0
