cell_id,albedo,ndbi,mndwi,bsi,ndvi,lst
0,0.13877975006324672,-0.015409886419079342,-0.45958163256915363,0.047307860287545765,0.444977472237005,41.83604500774891
1,0.14665350797210244,-0.02564537286600295,-0.46287586588934243,0.0411367823318406,0.45132850656112244,41.231132849133466
2,0.13652010528650652,0.003953812677096362,-0.46368431802338184,0.061154955712763984,0.43464756590044407,41.48847127025396
3,0.14079915345929833,0.02880831558630766,-0.4696034763882577,0.08164990167587598,0.40869016683421105,41.99193069421238
4,0.16223747821178097,0.046463144319337256,-0.46203159426098,0.10566269148524184,0.3540215582938851,45.742821967511155
5,0.1642224232426082,0.060926545622046434,-0.46025600620658724,0.11941557196200615,0.33003919678115884,46.264124352958575
6,0.14887444770679817,0.011747573482613623,-0.4471403049224033,0.0748610415753378,0.38751815674408796,44.14547782822907
7,0.12733400010512813,0.016950886907270656,-0.460816173737211,0.06704820500163088,0.4212072875049688,42.56485922825754
8,0.12023265117446787,-0.006731947200782621,-0.45344853451475237,0.04654254731961755,0.4602361137856018,40.51319773825074
9,0.13543319426549535,-0.007469262833707189,-0.4599448379577688,0.0508680374146069,0.44521762340503857,40.93964601209873
10,0.13801101374411454,0.01805493727927085,-0.46762683073677563,0.07027287788425263,0.42440147366734177,41.55515836481137
11,0.13312406496701515,0.022496767046262415,-0.4650559799668196,0.07242688324691775,0.4233648044302867,41.49070221843258
12,0.1389664142333336,0.02992123575002091,-0.4685664680568336,0.08187217805921393,0.40712933555343517,43.489258879756974
13,0.16894551973132763,0.04166871932063745,-0.44408776677752293,0.10642820658357466,0.33515261415773406,45.998395766846805
14,0.13849733813150739,-0.029675101829685826,-0.4089364085074387,0.04319132139482168,0.4073426314082023,42.20866828528764
15,0.13450293529117455,0.02196599127753927,-0.46077547347349934,0.07181954887622186,0.4154882288795726,42.50128615754088
16,0.13006685922050984,0.009431837684376233,-0.45878095772439903,0.05730314374453788,0.4457419497029614,40.67527167595954
17,0.13937236459172472,0.01417571609956146,-0.46580792117165354,0.062105391618722534,0.44403676624273153,40.31239747579738
18,0.135405251604021,-0.018922996067839155,-0.46901669384852335,0.03362179948056176,0.4828056450968838,40.796723275631315
19,0.13749378509489055,-0.051490923088031056,-0.46574119580444323,0.006781462526397481,0.5122893592788044,40.926050640549946
20,0.12838230428450045,-0.15211536430574554,-0.46436966125892354,-0.08805657933174374,0.621609582746931,39.13922264092881
21,0.13395544589627545,-0.009131366230673793,-0.4529151103644079,0.050895111074616875,0.43821182122964486,41.66662712900899
22,0.1451692708937915,0.013470870485217688,-0.4645518826510254,0.0737069551422018,0.4091465043561922,42.09507919171245
23,0.1356576926428326,0.02828793982811683,-0.4687958750531807,0.07812403264171844,0.41577867022017817,41.806762978453705
24,0.13694612035559767,0.00718214747273952,-0.46127263789604084,0.06132411604392093,0.43291363214679524,40.90778210028692
25,0.14061978484599558,-0.00204632508525994,-0.4648648923231812,0.05614391690676402,0.43803370619488435,42.01179083370841
26,0.13878005600564122,-0.01691089577567992,-0.4503875129859706,0.046458638681085074,0.4406774643607132,42.552878383981984
27,0.14022044693608784,0.030766773688842262,-0.46568743818156205,0.08187026016308047,0.41176114404964337,42.99629128080918
