ward_id,lst,ndvi
0,42.82710615793877,0.14509120589662147
1,44.96706242619039,0.1467708333082987
2,44.10264340953846,0.14866230399932154
3,41.76382085136737,0.20124743006238568
4,42.410281312482006,0.17817835916851882
5,42.50784426030642,0.17359557420171587
6,42.12823129765328,0.1628228947152843
7,41.75705781410749,0.1963097857808088
8,41.67877071585811,0.17434427147182355
9,41.96365256651438,0.19286739324440763
10,43.93055332776592,0.18485237924434408
11,43.35720945997427,0.10073944298876905
12,46.4547804545008,0.11675592514049984
13,42.73896837573063,0.12795834668357411
14,44.3730269065611,0.0845738528277835
15,42.82265119287979,0.10021248900210729
16,42.538996429657,0.1856962700167676
17,42.28664667514613,0.10015944593481298
18,41.09242907768881,0.19777079783842053
19,41.858466054516356,0.1861895194287569
20,40.80637235221264,0.1778963586228038
21,41.07972858072103,0.15391519422348166
22,40.91782392911216,0.17699062203155683
23,41.216773381282714,0.13892285207653726
24,41.153889739376574,0.1332084838973792
25,41.3841872235946,0.14075123033379633
26,41.14563081725551,0.19796294070857393
27,42.47689135641852,0.08768326324697202
28,42.496822568565165,0.08946585514706795
29,41.549420749047144,0.1878475969893238
30,44.978346318717335,0.11697006720216639
31,44.946844831683165,0.10254128533925189
32,43.53064299422766,0.09967702204004886
33,42.280474677926705,0.1389097062943815
34,45.54825167635222,0.10933834377909264
35,44.50284526263881,0.10707230564805635
36,44.90007056942378,0.10386531921023369
37,46.04906615861098,0.09067764575794428
38,45.18374203263632,0.07936671919591652
39,41.798850779989536,0.17851089772230602
40,42.84203994834508,0.1650518443088843
41,42.25633017940784,0.09456352375947268
42,41.88998516197349,0.15187401648644094
43,42.21864535302788,0.177998060168199
44,42.917333268271314,0.09295550864531256
45,44.02487118750077,0.1390422139873891
46,45.97375726232802,0.1382845423605649
47,44.32214973186809,0.06315795045761649
48,44.970745257534766,0.06421036611529704
49,41.52626039620817,0.18830006122783008
50,43.98616565884508,0.09798166108694584
51,44.19741807098629,0.11674870864120442
52,43.19929616047342,0.1615325205986407
53,43.799365717105935,0.1674109855868792
54,43.50793713122486,0.16309920465263542
55,43.77180479085332,0.1529482792865695
56,42.651052598868645,0.19097379037273932
57,43.00314661614002,0.17708402854755345
58,43.720457962578145,0.10471382015045577
59,39.558736771567865,0.20961293006791998
60,46.920524700222295,0.1172556488208312
61,42.281810763514564,0.18095049560521786
62,42.8738133773342,0.10325666878307625
63,41.844546948854855,0.17111740458328736
64,40.661320987732196,0.1802017127111405
65,42.10280293618266,0.14664134633642534
66,40.74687041487757,0.20872637569485789
67,45.488094241367044,0.10405069426390764
68,43.2441423084146,0.085209480684585
69,45.130446235384305,0.11283474020120338
70,44.018124273624316,0.06575425186421816
71,43.80113158385264,0.0754550766819037
72,44.103666113231796,0.0611595258673925
73,44.29274513707378,0.0682139277024057
74,45.03671974884091,0.14599239286766363
75,40.74359692590265,0.1906681349683925
76,40.27383022145895,0.20750743121573512
77,41.635243849102935,0.10849202310709369
78,43.603662366341545,0.08135361099809327
79,41.56639194617329,0.13863890248278019
80,41.22145334233847,0.11171035167651698
81,41.819761527435084,0.09045864020557726
82,42.297854184684304,0.14379361387621795
83,43.232282032607856,0.08387165598905007
84,45.39919226143362,0.10298777311327863
85,44.047160148432525,0.11797168361712933
86,43.03490146449409,0.09902591509718839
87,43.628278395532405,0.09421722309578566
88,42.63629277657838,0.13309021103233
89,44.195180983061086,0.13820413340976834
90,44.46359513094564,0.15360994786824575
91,43.52583857656584,0.1423199912150695
92,43.773117849668544,0.13825717857796765
93,45.05057992553611,0.10776891147134873
94,46.24181803605877,0.06062783497558134
95,44.978346318717335,0.11697006720216639
96,44.946844831683165,0.10254128533925189
97,42.538996429657,0.1856962700167676
98,41.14563081725551,0.19796294070857393
